82 23	44	44	74	79	3	42	48	84	51	45	94	17	30	64	91	43	23	72	20	32	25	
88	73	51	88	87	90	97	16	23	5	94	52	3	82	49	78	56	2	12	64	68	40	18	
0	8	38	22	12	37	89	73	51	70	91	71	87	45	7	57	40	1	88	93	41	26	18	
56	71	86	68	54	9	48	4	46	3	92	43	85	83	50	47	76	86	75	15	52	50	8	
63	16	44	7	89	24	37	66	85	63	97	51	79	17	30	95	98	73	67	89	97	26	48	
92	41	88	3	79	87	96	90	4	28	52	17	5	21	71	4	61	60	51	14	33	94	24	
25	43	6	11	67	7	63	79	83	7	3	38	66	31	31	43	98	75	97	3	34	19	64	
36	89	25	99	78	6	24	93	88	75	62	69	89	90	74	49	11	48	56	24	59	83	63	
16	2	36	59	35	22	95	83	6	16	96	56	72	59	1	8	3	9	3	9	99	77	35	
48	16	64	18	85	42	27	86	33	38	20	55	96	60	52	77	10	12	82	86	77	17	78	
10	60	43	98	50	91	19	16	29	48	4	0	46	32	65	39	31	91	32	58	38	59	39	
27	20	93	15	6	2	94	24	15	91	75	99	23	83	61	20	90	78	17	90	84	51	46	
15	2	25	68	7	11	69	10	14	99	37	21	26	0	15	87	38	10	37	25	17	86	23	
35	57	9	35	3	60	88	26	39	96	54	78	93	4	36	21	83	52	91	45	28	83	78	
0	22	97	39	94	31	27	17	2	38	56	24	94	70	18	20	76	63	90	13	80	30	81	
18	78	84	22	67	22	66	15	56	35	84	81	25	99	66	95	99	42	71	53	67	16	32	
13	82	82	6	74	41	5	46	25	51	76	30	96	43	94	0	28	63	22	44	0	70	42	
90	88	18	61	1	59	14	68	11	92	41	83	17	67	45	35	3	86	53	73	98	71	3	
42	29	28	86	41	44	98	13	60	93	76	33	2	87	48	74	2	20	78	43	92	59	95	
90	13	68	34	0	38	10	23	57	34	36	58	33	21	11	84	12	48	81	54	74	90	16	
67	3	42	76	76	37	27	81	90	53	23	58	49	84	70	38	81	18	84	53	67	32	37	
89	92	50	3	73	88	70	10	76	77	41	12	30	99	28	78	17	8	85	86	4	27	5	
43	34	28	95	35	66	97	39	38	10	60	71	81	35	87	91	15	49	13	78	77	29	25	
62	89	13	70	9	95	41	16	74	69	86	26	31	68	28	2	88	93	73	36	35	94	24	
2	26	52	26	77	43	19	99	70	25	73	76	35	42	60	23	75	54	95	3	66	43	36	
14	90	51	67	60	12	0	21	75	49	76	22	54	46	16	25	52	99	76	45	48	92	37	
86	63	61	18	21	13	47	8	21	84	88	36	16	72	80	31	47	98	53	83	56	5	10	
66	15	24	47	99	87	6	81	54	82	0	39	38	37	2	70	56	15	89	29	0	18	93	
13	32	31	9	24	74	24	67	41	18	86	32	79	85	31	87	37	56	78	90	11	90	98	
65	69	2	35	83	78	91	14	76	74	6	92	80	51	37	62	63	74	39	80	57	64	32	
74	37	56	29	84	18	85	95	10	89	60	95	50	77	61	17	88	55	44	31	24	19	29	
14	27	94	22	55	81	56	81	79	9	86	94	23	66	39	53	77	53	59	15	94	41	6	
42	37	61	82	82	74	38	72	0	32	81	10	18	84	40	93	49	60	93	50	83	29	44	
47	2	50	21	86	65	71	85	28	6	76	21	90	6	22	23	52	32	45	93	1	71	5	
14	0	76	78	29	52	77	67	24	60	53	26	90	68	22	35	65	45	80	71	64	79	96	
37	40	88	10	8	69	16	61	47	41	60	43	17	80	73	21	14	49	42	14	54	11	67	
35	84	0	49	73	32	77	32	34	41	31	9	65	78	8	7	47	98	37	18	1	67	1	
27	43	39	74	35	73	79	26	17	59	83	3	96	40	42	28	45	53	22	64	42	16	35	
84	97	6	48	11	12	8	77	7	63	76	81	69	32	99	27	15	53	59	64	70	97	76	
65	97	97	20	68	94	40	45	29	48	74	99	51	18	35	76	39	55	84	2	42	46	63	
85	18	60	70	38	49	81	46	31	93	21	32	48	23	54	39	92	57	59	8	55	15	24	
18	52	89	55	4	20	5	12	11	2	97	36	0	80	9	37	63	50	15	69	73	21	72	
69	30	82	55	41	96	86	13	6	37	21	37	9	15	39	81	45	52	87	2	34	22	34	
32	20	67	41	1	40	61	55	45	97	68
